127.0.0.1, 2014-07-03 12:36:10, GET, /AssignmentPortal/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000631
127.0.0.1, 2014-07-03 12:36:10, GET, /AssignmentPortal/default/user/login, HTTP/1.1, 303, 0.031776
127.0.0.1, 2014-07-03 12:36:17, GET, /AssignmentPortal/default/user/login, HTTP/1.1, 303, 2.158575
127.0.0.1, 2014-07-03 12:36:17, GET, /AssignmentPortal/default/user/login, HTTP/1.1, 303, 0.031247
127.0.0.1, 2014-07-03 12:36:17, GET, /AssignmentPortal/default/index, HTTP/1.1, 200, 0.038346
127.0.0.1, 2014-07-03 12:36:19, GET, /AssignmentPortal/default/uploadAssignment, HTTP/1.1, 200, 0.044270
127.0.0.1, 2014-07-03 12:36:38, GET, /AssignmentPortal/appadmin/select/db, HTTP/1.1, 200, 0.089375
127.0.0.1, 2014-07-03 12:36:41, GET, /AssignmentPortal/appadmin/index, HTTP/1.1, 200, 0.058881
127.0.0.1, 2014-07-03 12:36:44, GET, /AssignmentPortal/appadmin/select/db, HTTP/1.1, 200, 0.070229
127.0.0.1, 2014-07-03 12:36:54, GET, /AssignmentPortal/appadmin/update/db/Assign/2, HTTP/1.1, 200, 0.066550
127.0.0.1, 2014-07-03 12:37:07, GET, /AssignmentPortal/appadmin/select/db, HTTP/1.1, 200, 0.076413
127.0.0.1, 2014-07-03 12:37:11, GET, /AssignmentPortal/appadmin/update/db/Assign/2, HTTP/1.1, 200, 0.069235
127.0.0.1, 2014-07-03 12:37:15, GET, /AssignmentPortal/appadmin/select/db, HTTP/1.1, 200, 0.075639
